titres,adresses,liens,categorie,type,lon,lat
Maison de l'emploi et de la formation - Antenne des Pentes,"2 rue des Pierres Plantées, 69001 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-des-pentes,equipements-divers,initiatives,4.83199,45.774267
Maison de l'emploi et de la formation - Antenne Bachut,"307 avenue Berthelot, 69007 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-bachut,equipements-divers,initiatives,4.86457,45.738255
Mairie du 1er arrondissement,"2 place Sathonay, 69001 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-1er-arrondissement,mairies,initiatives,4.8302,45.7695
Mairie du 2e arrondissement,"2 rue d'Enghien, 69002 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-2e-arrondissement,mairies,initiatives,4.8269,45.7532
Restaurant Charcot,"34 rue Commandant Charcot, 69005 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-charcot,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8064,45.7551
Restaurant Jean Jaurès,"286, avenue Jean Jaurès, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-jean-jaures,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8321,45.7294
Restaurant Hénon,"64, boulevard des Canuts, 69004 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-henon,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8281,45.7804
Restaurant La Sauvegarde,"507 avenue de la Sauvegarde, 69009 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-la-sauvegarde,foyers-restaurants-pour-personnes-agees,personnes âgées,4.7912,45.7883
Restaurant Le Colombier,"13 rue Marc Bloch, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-le-colombier,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8449,45.7476
Maison de l'emploi et de la formation - Antenne des Pentes,"2 rue des Pierres Plantées, 69001 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-des-pentes,equipements-divers,initiatives,4.83199,45.774267
Maison de l'emploi et de la formation - Antenne Bachut,"307 avenue Berthelot, 69007 Lyon",https://www.lyon.fr/lieu/equipements-divers/maison-de-lemploi-et-de-la-formation-antenne-bachut,equipements-divers,initiatives,4.86457,45.738255
Mairie du 1er arrondissement,"2 place Sathonay, 69001 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-1er-arrondissement,mairies,initiatives,4.8302,45.7695
Mairie du 2e arrondissement,"2 rue d'Enghien, 69002 Lyon",https://www.lyon.fr/lieu/mairies/mairie-du-2e-arrondissement,mairies,initiatives,4.8269,45.7532
Restaurant Charcot,"34 rue Commandant Charcot, 69005 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-charcot,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8064,45.7551
Restaurant Jean Jaurès,"286, avenue Jean Jaurès, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-jean-jaures,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8321,45.7294
Restaurant Hénon,"64, boulevard des Canuts, 69004 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-henon,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8281,45.7804
Restaurant La Sauvegarde,"507 avenue de la Sauvegarde, 69009 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-la-sauvegarde,foyers-restaurants-pour-personnes-agees,personnes âgées,4.7912,45.7883
Restaurant Le Colombier,"13 rue Marc Bloch, 69007 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-le-colombier,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8449,45.7476
Restaurant Louis Pradel,"146 boulevard de la Croix Rousse, 69001 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-louis-pradel,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8305,45.7741
Restaurant Rinck,"66 cours Suchet, 69002 Lyon",https://www.lyon.fr/lieu/foyers-restaurants-pour-personnes-agees/restaurant-rinck,foyers-restaurants-pour-personnes-agees,personnes âgées,4.8264,45.7454
EHPAD La Villette d'Or,"34 avenue Georges Pompidou, 69003 Lyon",https://www.lyon.fr/lieu/etablissements-personnes-agees-dependantes-ehpad/ehpad-la-villette-dor,etablissements-personnes-agees-dependantes-ehpad,personnes âgées,4.865,45.7591
EHPAD Les Balcons de l'Ile Barbe,"70, rue Pierre Termier, 69009 Lyon",https://www.lyon.fr/lieu/etablissements-personnes-agees-dependantes-ehpad/ehpad-les-balcons-de-lile-barbe,etablissements-personnes-agees-dependantes-ehpad,personnes âgées,4.8356,45.8018
EHPAD L'étoile du jour,"94 rue Pierre Valdo, 69005 Lyon",https://www.lyon.fr/lieu/etablissements-personnes-agees-dependantes-ehpad/ehpad-letoile-du-jour,etablissements-personnes-agees-dependantes-ehpad,personnes âgées,4.786,45.7509
Résidence seniors Rinck,"66, cours Suchet, 69002 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-rinck,residences-seniors,personnes âgées,4.8264,45.7453
Résidence seniors Chalumeaux,"4 rue St Vincent de Paul, 69008 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-chalumeaux,residences-seniors,personnes âgées,4.854,45.7363
Résidence seniors Charcot,"34 rue  Commandant Charcot, 69005 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-charcot,residences-seniors,personnes âgées,4.8063,45.7551
Résidence seniors Clos Jouve,"10-12, rue Dominique Perfetti, 69001 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-clos-jouve,residences-seniors,personnes âgées,4.8196,45.7713
Résidence seniors Cuvier,"152 rue Cuvier, 69006 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-cuvier,residences-seniors,personnes âgées,4.8535,45.7676
Résidence seniors Danton,"8  place Danton, 69003 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-danton,residences-seniors,personnes âgées,4.857,45.7552
Résidence seniors Hénon,"64, boulevard des Canuts, 69004 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-henon,residences-seniors,personnes âgées,4.8281,45.7805
Résidence seniors Jean Jaurès,"286 avenue Jean Jaurès, 69007 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-jean-jaures,residences-seniors,personnes âgées,4.832,45.7292
Résidence seniors Jean Zay,"5 rue Jean Zay, 69009 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-jean-zay,residences-seniors,personnes âgées,4.802,45.7673
Résidence seniors La Sauvegarde,"507 avenue de la Sauvegarde, 69009 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-la-sauvegarde,residences-seniors,personnes âgées,4.7913,45.7884
Résidence seniors Louis Pradel,"146, boulevard de la Croix-Rousse, 69001 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-louis-pradel,residences-seniors,personnes âgées,4.8305,45.7741
Résidence seniors Marc Bloch,"13 rue Marc Bloch, 69007 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-marc-bloch,residences-seniors,personnes âgées,4.8449,45.7475
Résidence seniors Marius Bertrand,"14 rue Hermann Sabran, 69004 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-marius-bertrand,residences-seniors,personnes âgées,4.8228,45.784
Résidence seniors Renée Jolivot,"1 rue Jean Sarrazin, 69008 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-renee-jolivot,residences-seniors,personnes âgées,4.8706,45.734
Résidence seniors Thiers,"171 avenue Thiers, 69006 Lyon",https://www.lyon.fr/lieu/residences-seniors/residence-seniors-thiers,residences-seniors,personnes âgées,4.8621,45.7655
Centre des Congrès de Lyon,"50 quai Charles de Gaulle, 69006 Lyon",https://www.lyon.fr/lieu/centres-de-congres/centre-des-congres-de-lyon,centres-de-congres,initiatives,4.8545,45.7853
Consulat d'Allemagne,"33, boulevard des Belges, 69458 Lyon cedex 06",https://www.lyon.fr/lieu/consulats/consulat-dallemagne,consulats,initiatives,4.8497,45.7743
Consulat du Bénin,"95, avenue Maréchal de Saxe, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-benin,consulats,initiatives,4.8459,45.76
Consulat du Brésil,"63 avenue de Saxe, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-bresil,consulats,initiatives,4.843,45.7622
Consulat du Burkina Faso,"38, avenue Maréchal de Saxe, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-burkina-faso,consulats,initiatives,4.8443,45.7655
Consulat de la République de Côte d Ivoire,"58, avenue Maréchal Foch, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-la-republique-de-cote-d-ivoire,consulats,initiatives,4.8441,45.7689
Consulat des Etats-Unis d'Amérique,"1, quai Jules Courmont, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-des-etats-unis-damerique,consulats,initiatives,4.838,45.7629
Consulat de Finlande,"3 rue de la Barre, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-finlande,consulats,initiatives,4.8328,45.7578
Consulat du Gabon,"3, rue de Sévigné, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-gabon,consulats,initiatives,4.8438,45.7597
Consulat de Grande-Bretagne,",",https://www.lyon.fr/lieu/consulats/consulat-de-grande-bretagne,consulats,initiatives,4.837,45.76
Consulat de Grèce,"7, rue Barrême, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-grece,consulats,initiatives,4.8443,45.7744
Consulat d'Islande,"170, boulevard Stalingrad, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-dislande,consulats,initiatives,4.8446,45.7743
Consulat d'Italie,"5, rue Commandant Faurax, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-ditalie,consulats,initiatives,4.843,45.7752
Consulat du Grand Duché du Luxembourg,"6, rue Grolée, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-grand-duche-du-luxembourg,consulats,initiatives,4.8366,45.7627
Consulat de Madagascar,"3, rue Amédée Bonnet, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-madagascar,consulats,initiatives,4.8575,45.769
Consulat du Mali,",",https://www.lyon.fr/lieu/consulats/consulat-du-mali,consulats,initiatives,4.8352,45.7484
Consulat du Maroc,"2-4, rue Carry, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-maroc,consulats,initiatives,4.8715,45.7548
Consulat du Mexique,"6, place Bellecour, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-mexique,consulats,initiatives,4.8058,45.7686
Consulat des Pays-Bas,"104, rue Président Edouard Herriot, 69002 Lyon",https://www.lyon.fr/lieu/consulats/consulat-des-pays-bas,consulats,initiatives,4.8338,45.7584
Consulat de Pologne,"79, rue Crillon, 69458  Lyon Cedex 06",https://www.lyon.fr/lieu/consulats/consulat-de-pologne,consulats,initiatives,4.852,45.7711
Consulat de la République Tchèque,"136 rue Sully, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-la-republique-tcheque,consulats,initiatives,4.8522,45.7625
Consulat de Roumanie,"29, rue de Bonnel, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-roumanie,consulats,initiatives,4.8458,45.7618
Consulat du Sénégal,"97, rue Garibaldi, 69003 Lyon",https://www.lyon.fr/lieu/consulats/consulat-du-senegal,consulats,initiatives,4.85117,45.76655
Consulat de Suède,"107, rue Servient, 69006 Lyon",https://www.lyon.fr/lieu/consulats/consulat-de-suede,consulats,initiatives,4.846,45.7649
